192.168.2.50 - - [27/May/2017:07:42:24 -0500] "GET / HTTP/1.1" 200 17579 "-" "Mozilla/5.0 (Windows NT 6.1; rv:53.0) Gecko/20100101 Firefox/53.0"
192.168.0.53 - - [27/May/2017:08:06:50 -0500] "GET / HTTP/1.1" 200 17579 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.79 Safari/537.36 Edge/14.14393"
192.168.4.50 - - [27/May/2017:08:09:20 -0500] "GET / HTTP/1.1" 200 17579 "-" "Mozilla/5.0 (Windows NT 6.1; Trident/7.0; rv:11.0) like Gecko"
192.168.4.50 - - [27/May/2017:08:09:27 -0500] "GET / HTTP/1.1" 200 17523 "-" "Mozilla/5.0 (Windows NT 6.1; Trident/7.0; rv:11.0) like Gecko"
192.168.4.50 - - [27/May/2017:08:13:33 -0500] "GET / HTTP/1.1" 200 17579 "-" "Mozilla/5.0 (Windows NT 6.1; Trident/7.0; rv:11.0) like Gecko"
192.168.4.50 - - [27/May/2017:08:29:43 -0500] "GET / HTTP/1.1" 200 17579 "-" "Mozilla/5.0 (Windows NT 6.1; Trident/7.0; rv:11.0) like Gecko"
192.168.3.51 - - [27/May/2017:08:41:18 -0500] "GET / HTTP/1.1" 200 17579 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.75 Safari/537.36"
192.168.2.52 - - [27/May/2017:08:43:28 -0500] "GET / HTTP/1.1" 200 17579 "-" "Mozilla/5.0 (Windows NT 6.1; rv:53.0) Gecko/20100101 Firefox/53.0"
192.168.2.50 - - [27/May/2017:08:43:43 -0500] "GET / HTTP/1.1" 200 17579 "-" "Mozilla/5.0 (Windows NT 6.1; rv:53.0) Gecko/20100101 Firefox/53.0"
192.168.0.52 - - [27/May/2017:08:45:42 -0500] "GET / HTTP/1.1" 200 17579 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.79 Safari/537.36 Edge/14.14393"
192.168.0.52 - - [27/May/2017:08:45:50 -0500] "GET / HTTP/1.1" 200 17523 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.79 Safari/537.36 Edge/14.14393"
192.168.4.50 - - [27/May/2017:08:46:09 -0500] "GET / HTTP/1.1" 200 17579 "-" "Mozilla/5.0 (Windows NT 6.1; Trident/7.0; rv:11.0) like Gecko"
192.168.0.52 - - [27/May/2017:09:10:28 -0500] "GET / HTTP/1.1" 200 17579 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.79 Safari/537.36 Edge/14.14393"
192.168.0.53 - - [27/May/2017:09:15:43 -0500] "GET / HTTP/1.1" 200 17579 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.79 Safari/537.36 Edge/14.14393"
5.77.213.44 - - [27/May/2017:09:23:06 -0500] "GET / HTTP/1.1" 200 17523 "-" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.0;)"
5.77.213.44 - - [27/May/2017:09:23:07 -0500] "GET / HTTP/1.1" 200 17523 "-" "Mozilla/5.0 (Windows NT 6.3; WOW64; rv:39.0) Gecko/20100101 Firefox/39.0"
5.77.213.44 - - [27/May/2017:09:23:07 -0500] "GET /robots.txt HTTP/1.1" 200 263 "-" "Mozilla/5.0 (Windows NT 6.3; WOW64; rv:39.0) Gecko/20100101 Firefox/39.0"
